rank	lemma	PoS	freq	perMil	%caps	%allC	range	disp	blog	web	TVM	spok	fic	mag	news	acad	blogPM	webPM	TVMPM	spokPM	ficPM	magPM	newsPM	acadPM
103	any	d	981535	988.43	0.06	0.01	267868	0.98	168557	175194	125727	128961	96749	105526	89432	91389	1356.56	1362.18	981.67	1022.40	817.67	836.90	734.60	762.91
104	those	d	964458	971.23	0.10	0.00	268925	0.98	153384	139756	95915	155263	81434	108932	107858	121916	1234.44	1086.64	748.90	1230.92	688.24	863.91	885.96	1017.74
105	very	r	963552	970.32	0.06	0.01	236629	0.95	137396	122023	130683	293099	72402	79741	72185	56023	1105.77	948.76	1020.37	2323.68	611.91	632.41	592.93	467.67
106	her	p	959780	966.52	0.01	0.01	128692	0.93	56623	69576	219814	95473	378362	65596	52800	21603	455.70	540.97	1716.30	756.91	3197.73	520.23	433.70	180.34
107	need	v	945498	952.14	0.02	0.01	244037	0.99	150098	126921	228750	106945	84765	96297	78985	72737	1208.00	986.84	1786.07	847.86	716.39	763.71	648.79	607.20
108	back	r	938649	945.24	0.02	0.01	231812	0.97	94855	87907	194706	165272	210323	82354	80483	22749	763.40	683.50	1520.26	1310.27	1777.55	653.13	661.09	189.91
109	there	r	932354	938.90	0.08	0.01	212783	0.97	92403	79922	262174	210219	140949	59906	64943	21838	743.66	621.41	2047.04	1666.61	1191.23	475.10	533.45	182.30
110	should	v	920908	927.38	0.05	0.01	236459	0.99	154012	147712	156083	118201	74657	88417	78357	103469	1239.50	1148.50	1218.69	937.09	630.96	701.22	643.63	863.75
111	even	r	920346	926.81	0.13	0.00	266058	0.98	148742	128877	103914	101459	136422	128062	93860	79010	1197.08	1002.05	811.36	804.36	1152.97	1015.63	770.97	659.57
112	only	r	905093	911.45	0.07	0.00	269145	0.98	137490	142544	82452	74501	120222	121244	95652	130988	1106.53	1108.31	643.78	590.64	1016.06	961.56	785.69	1093.48
113	many	d	903833	910.18	0.11	0.00	270095	0.97	154397	145110	46022	113520	54792	136474	128823	124695	1242.59	1128.27	359.34	899.98	463.08	1082.34	1058.16	1040.94
114	really	r	895900	902.19	0.08	0.01	205808	0.96	143407	106283	223675	222816	68726	60110	55766	15117	1154.15	826.38	1746.44	1766.48	580.84	476.72	458.07	126.20
115	work	v	854095	860.10	0.03	0.01	249765	0.99	130814	115845	122821	115177	75981	114439	109866	69152	1052.80	900.72	958.98	913.12	642.15	907.59	902.45	577.27
116	life	n	852257	858.25	0.07	0.01	217413	0.99	116532	123840	121180	107321	96580	116576	85153	85075	937.86	962.89	946.17	850.84	816.25	924.54	699.45	710.20
117	why	r	832911	838.76	0.42	0.01	196824	0.98	114636	93866	265136	128798	100363	56599	43862	29651	922.60	729.83	2070.17	1021.11	848.22	448.87	360.29	247.52
118	right	r	830729	836.57	0.17	0.01	155193	0.93	47131	38815	381912	224878	73729	32667	25047	6550	379.31	301.80	2981.95	1782.83	623.12	259.07	205.74	54.68
119	down	r	820294	826.06	0.02	0.01	225234	0.97	80369	81131	169949	106287	197840	88204	73408	23107	646.81	630.81	1326.95	842.64	1672.05	699.53	602.98	192.90
120	on	r	818739	824.49	0.02	0.01	209670	0.97	76552	69688	314838	119770	99755	61306	50020	26810	616.09	541.84	2458.24	949.53	843.08	486.20	410.87	223.81
121	try	v	795248	800.84	0.05	0.01	229052	0.98	110617	97802	144511	137801	117229	79986	79348	27954	890.25	760.43	1128.34	1092.48	990.76	634.35	651.77	233.36
122	let	v	780929	786.42	0.39	0.01	177948	0.96	70736	64914	299506	152262	99083	46942	34440	13046	569.29	504.72	2338.53	1207.13	837.40	372.29	282.89	108.91
123	something	p	779903	785.45	0.06	0.01	203758	0.98	103695	84922	195920	130288	130193	60120	50894	24052	834.54	660.29	1529.73	1032.92	1100.33	476.80	418.05	200.78
124	too	r	771375	776.79	0.05	0.01	224079	0.98	107170	90176	160203	81893	142994	85918	68089	34932	862.51	701.14	1250.86	649.25	1208.51	681.40	559.29	291.61
125	call	v	768117	773.51	0.05	0.01	232968	0.99	75736	85918	148220	116916	106385	94459	93785	46698	609.53	668.03	1157.29	926.91	899.11	749.13	770.36	389.83
126	woman	n	759817	765.16	0.12	0.02	143865	0.98	92225	81493	73916	110348	117647	106734	83407	94047	742.23	633.63	577.13	874.84	994.29	846.48	685.11	785.10
127	may	v	757742	763.07	0.03	0.00	221930	0.98	103786	140548	52568	78438	26730	116192	69471	170009	835.28	1092.80	410.45	621.85	225.91	921.49	570.64	1419.22
128	still	r	757548	762.87	0.10	0.01	243441	0.98	109620	94616	103739	99817	125729	92644	88352	43031	882.23	735.66	809.99	791.35	1062.60	734.74	725.73	359.22
129	through	i	752325	757.61	0.05	0.00	243097	0.98	82474	94381	55076	74360	136649	105203	95419	108763	663.75	733.84	430.03	589.52	1154.89	834.34	783.78	907.94
130	mean	v	748840	754.10	0.02	0.01	195304	0.97	83041	73925	204917	184486	73550	51115	38147	39659	668.32	574.79	1599.98	1462.60	621.61	405.38	313.34	331.07
131	after	i	745154	750.39	0.14	0.00	262577	0.98	91630	102879	53544	90300	89131	110001	136940	70729	737.44	799.91	418.07	715.90	753.29	872.39	1124.84	590.44
132	never	r	744608	749.84	0.07	0.01	209188	0.99	97102	91004	165405	88149	133313	74019	66745	28871	781.48	707.58	1291.47	698.84	1126.70	587.03	548.25	241.01
133	no	u	743203	748.42	0.69	0.02	99323	0.90	28660	26232	513729	116062	36884	8964	7810	4862	230.66	203.96	4011.17	920.14	311.73	71.09	64.15	40.59
134	world	n	732511	737.66	0.18	0.01	208857	0.98	108450	117567	64353	90725	60337	107264	88531	95286	872.81	914.11	502.47	719.27	509.94	850.69	727.20	795.44
135	in	r	726590	731.70	0.10	0.01	243083	0.99	89317	88106	113342	104336	100650	81346	71127	78366	718.83	685.05	884.97	827.17	850.64	645.14	584.24	654.19
136	feel	v	722826	727.90	0.02	0.01	197716	0.98	96206	86326	119499	98165	145051	81573	60395	35611	774.27	671.21	933.04	778.25	1225.90	646.94	496.09	297.28
137	yeah	u	703928	708.87	0.83	0.02	69267	0.89	13675	12129	482889	161199	25838	4453	3227	518	110.06	94.31	3770.37	1277.98	218.37	35.32	26.51	4.32
138	great	j	696589	701.90	0.13	0.01	221670	0.99	107046	104623	114707	100493	47939	84097	64513	73580	861.51	813.47	895.63	796.71	405.16	666.95	529.92	614.24
139	last	m	692989	697.86	0.10	0.01	242127	0.97	85889	78216	86154	107381	68833	83495	155609	27412	691.24	608.15	672.69	851.31	581.74	662.18	1278.19	228.83
140	child	n	685426	690.24	0.08	0.01	139409	0.97	73483	83629	41989	90254	69231	94432	90979	141429	591.39	650.24	327.85	715.53	585.11	748.92	747.31	1180.64
141	oh	u	685234	690.05	0.93	0.03	91376	0.90	23045	21671	474971	95946	50793	9283	6635	2890	185.47	168.50	3708.55	760.66	429.28	73.62	54.50	24.13
142	over	i	679617	684.39	0.06	0.00	243920	0.98	86915	86106	49823	81066	109703	99312	95219	71473	699.50	669.50	389.02	642.69	927.16	787.62	782.14	596.65
143	ask	v	676596	681.35	0.04	0.00	200919	0.98	72470	73964	97800	103132	149847	69264	66304	43815	583.24	575.09	763.62	817.63	1266.43	549.32	544.63	365.76
144	when	r	669530	674.23	0.17	0.01	240060	0.99	83942	84485	84869	107966	95890	85784	81512	45082	675.57	656.89	662.65	855.95	810.42	680.33	669.55	376.34
145	as	r	662376	667.03	0.04	0.00	244204	0.98	104016	96064	49370	82134	84301	98928	77637	69926	837.13	746.92	385.48	651.16	712.47	784.58	637.72	583.74
146	school	n	660191	664.83	0.15	0.01	140169	0.95	69031	68664	46979	59228	46498	64942	140933	163916	555.57	533.88	366.81	469.56	392.98	515.04	1157.64	1368.36
